date,open,high,low,close,volume
2021-01-04,10.41,10.41,10.09,10.21,13677467
2021-01-05,10.15,10.2,10.02,10.13,10079381
2021-01-06,10.1,10.11,9.98,10.03,7289816
2021-01-07,9.98,9.98,9.46,9.69,19935318
2021-01-08,9.65,9.79,9.32,9.69,11599210
2021-01-11,9.7,9.9,9.7,9.72,10594470
2021-01-12,9.7,9.76,9.53,9.61,7588995
2021-01-13,9.61,9.65,9.37,9.5,9052114
2021-01-14,9.5,9.72,9.48,9.61,8671115
2021-01-15,9.6,9.79,9.58,9.66,6248916
2021-01-18,9.58,9.87,9.58,9.81,7507180
2021-01-19,9.81,9.87,9.75,9.76,8249273
2021-01-20,9.76,9.85,9.71,9.77,5514029
2021-01-21,9.74,9.91,9.7,9.82,8173685
2021-01-22,9.81,9.81,9.54,9.72,8137660
2021-01-25,9.66,9.66,9.35,9.43,9256046
2021-01-26,9.41,9.55,9.29,9.35,6810403
2021-01-27,9.34,10.29,9.3,10.13,31722934
2021-01-28,9.92,10.06,9.76,9.98,14697733
2021-01-29,9.93,9.98,9.6,9.67,8309618
2021-02-01,9.7,9.83,9.62,9.75,6089632
2021-02-02,9.71,9.75,9.6,9.6,6032850
2021-02-03,9.62,9.63,9.35,9.37,7446901
2021-02-04,9.31,9.4,9.17,9.2,7333459
2021-02-05,9.26,9.34,9.03,9.08,6389974
2021-02-08,8.98,9.17,8.96,9.06,5447495
2021-02-09,9.09,9.18,9.06,9.1,5662988
2021-02-10,9.11,9.31,9.07,9.3,9134101
2021-02-18,9.4,9.78,9.4,9.68,10213591
2021-02-19,9.67,9.92,9.58,9.9,10292474
2021-02-22,9.88,10.04,9.81,9.81,8890656
2021-02-23,9.77,10.13,9.67,9.98,12997603
2021-02-24,9.96,10.18,9.87,9.98,10311040
2021-02-25,10.05,10.08,9.76,9.77,6752410
2021-02-26,9.75,9.86,9.67,9.75,6975950
2021-03-01,9.78,9.89,9.78,9.82,5762576
2021-03-02,9.83,9.85,9.68,9.78,5748565
2021-03-03,9.76,9.85,9.71,9.79,5285583
2021-03-04,9.76,9.79,9.65,9.71,5703941
2021-03-05,9.66,9.84,9.64,9.81,5889282
2021-03-08,9.82,9.98,9.7,9.7,7918408
2021-03-09,9.7,9.78,9.48,9.55,6755123
2021-03-10,9.6,9.68,9.36,9.36,5234058
2021-03-11,9.4,9.49,9.33,9.48,5158614
2021-03-12,9.53,9.53,9.32,9.37,4698412
2021-03-15,9.39,9.39,9.25,9.33,6085843
2021-03-16,9.34,9.41,9.3,9.37,3641440
2021-03-17,9.37,9.38,9.27,9.37,4479649
2021-03-18,9.34,9.39,9.26,9.27,5092507
2021-03-19,9.2,9.26,9.16,9.2,5343092
2021-03-22,9.2,9.29,9.11,9.28,5748109
2021-03-23,9.25,9.45,9.25,9.4,8070237
2021-03-24,9.3,9.43,9.3,9.38,5174905
2021-03-25,9.4,9.5,9.35,9.46,5380033
2021-03-26,9.46,9.55,9.39,9.5,6936757
2021-03-29,9.49,9.54,9.39,9.4,5972883
2021-03-30,9.44,9.44,9.23,9.24,4933102
2021-03-31,9.2,9.29,9.19,9.25,3105714
2021-04-01,9.24,9.26,9.19,9.22,3629221
2021-04-02,9.23,9.31,9.18,9.24,3537179
2021-04-06,9.27,9.41,9.21,9.32,5349614
2021-04-07,9.32,9.32,9.23,9.29,4227916
2021-04-08,9.28,9.33,9.2,9.22,5461437
2021-04-09,9.25,9.25,9.17,9.22,3370951
2021-04-12,9.2,9.22,9.13,9.17,4113402
2021-04-13,9.18,9.19,9.08,9.12,3527162
2021-04-14,9.13,9.17,9.08,9.15,2967861
2021-04-15,9.13,9.15,9.05,9.14,4230049
2021-04-16,9.15,9.37,9.14,9.35,7376017
2021-04-19,9.41,9.72,9.41,9.69,15382909
2021-04-20,9.62,9.77,9.53,9.55,10182079
2021-04-21,9.5,9.56,9.39,9.44,5533538
2021-04-22,9.42,9.47,9.37,9.37,4669925
2021-04-23,9.36,9.39,9.19,9.27,5944910
2021-04-26,9.4,9.6,9.3,9.31,8527494
2021-04-27,9.27,9.37,9.24,9.26,5393468
2021-04-28,9.26,9.74,9.23,9.67,15196031
2021-04-29,9.55,9.58,9.33,9.36,12419500
2021-04-30,9.38,9.39,9.23,9.27,6510114
2021-05-06,9.27,9.38,9.21,9.26,9215991
2021-05-07,9.24,9.32,9.16,9.18,7682701
2021-05-10,9.18,9.23,8.86,8.93,16801332
2021-05-11,8.81,9,8.78,9,8619560
2021-05-12,9,9.08,8.94,9.06,4928888
2021-05-13,8.99,9.21,8.98,9.1,6373781
2021-05-14,9.12,9.19,9.07,9.16,5336033
2021-05-17,9.15,9.24,9.07,9.09,5763000
2021-05-18,9.1,9.35,9.03,9.29,8087602
2021-05-19,9.2,9.21,9.13,9.15,5466098
2021-05-20,9.18,9.19,9.05,9.08,3750077
2021-05-21,9.1,9.13,9.05,9.11,3359146
2021-05-24,9.1,9.28,9.07,9.19,6406002
2021-05-25,9.18,9.3,9.13,9.3,7428750
2021-05-26,9.3,9.35,9.22,9.24,6887767
2021-05-27,9.24,9.35,9.22,9.25,5360425
2021-05-28,9.26,9.27,9.19,9.2,5250475
2021-05-31,9.2,9.4,9.18,9.38,9278309
2021-06-01,9.36,10.1,9.29,9.92,25828535
2021-06-02,10.4,10.91,10.27,10.43,62475040
2021-06-03,10.01,10.48,10,10.1,36233232
2021-06-04,10.01,10.48,10.01,10.08,21404560
2021-06-07,10.1,10.62,10.08,10.3,22830262
2021-06-08,10.42,11.3,10.21,10.9,44593016
2021-06-09,10.85,10.98,10.57,10.67,24016785
2021-06-10,10.69,11.08,10.59,10.91,33483873
2021-06-11,10.93,10.95,10.52,10.56,24782641
2021-06-15,10.5,10.58,10.29,10.3,14217122
2021-06-16,10.28,10.39,10.06,10.1,11540914
2021-06-17,10.09,10.31,10.06,10.29,11214246
2021-06-18,10.22,10.26,10.09,10.16,9555826
2021-06-21,10.08,10.3,10.03,10.24,9988675
2021-06-22,10.19,10.24,10.03,10.16,10932268
2021-06-23,10.12,10.16,9.95,10.07,11216465
2021-06-24,10.06,10.11,9.91,9.91,10374666
2021-06-25,9.96,9.97,9.77,9.92,10871869
2021-06-28,9.9,10.1,9.84,10,11994173
2021-06-29,10,10.05,9.7,9.71,9377720
2021-06-30,9.82,9.84,9.65,9.78,6849997
2021-07-01,9.82,9.92,9.6,9.67,8974506
2021-07-02,9.64,9.81,9.63,9.77,7384128
2021-07-05,9.88,10.04,9.79,9.83,7985523
2021-07-06,9.85,9.87,9.61,9.66,8830091
2021-07-07,9.63,9.66,9.48,9.55,10625460
2021-07-08,9.57,9.72,9.42,9.63,13014356
2021-07-09,9.6,9.61,9.45,9.49,8131250
2021-07-12,9.51,9.78,9.51,9.74,13236735
2021-07-13,9.78,10.03,9.75,9.83,13028330
2021-07-14,9.75,9.85,9.68,9.69,8428499
2021-07-15,9.71,9.79,9.51,9.52,7646316
2021-07-16,9.52,9.59,9.49,9.55,5485676
2021-07-19,9.56,9.65,9.42,9.64,6499998
2021-07-20,9.58,9.65,9.46,9.5,5147921
2021-07-21,9.55,9.71,9.51,9.6,7087411
2021-07-22,9.58,9.61,9.49,9.5,7945443
2021-07-23,9.49,9.56,9.39,9.4,7608970
2021-07-26,9.42,9.42,9.17,9.19,8393797
2021-07-27,9.18,9.43,9.18,9.35,9061195
2021-07-28,9.32,9.45,9.13,9.19,7389476
2021-07-29,9.25,9.3,9.18,9.25,5332453
2021-07-30,9.25,9.27,9.13,9.19,5396300
2021-08-02,9.18,9.43,9.12,9.37,9208831
2021-08-03,9.4,9.68,9.36,9.65,13650635
2021-08-04,9.56,9.58,9.47,9.51,7243831
2021-08-05,9.46,9.51,9.4,9.43,5662701
2021-08-06,9.4,9.5,9.35,9.49,5440936
2021-08-09,9.4,9.47,9.32,9.41,8145175
2021-08-10,9.38,9.58,9.36,9.52,7584256
2021-08-11,9.52,9.63,9.47,9.51,7139494
2021-08-12,9.51,9.68,9.48,9.56,8677800
2021-08-13,9.51,9.56,9.41,9.45,5801700
2021-08-16,9.42,9.49,9.36,9.43,4955524
2021-08-17,9.8,9.85,9.41,9.48,14247040
2021-08-18,9.41,9.45,9.32,9.38,7479001
2021-08-19,9.38,9.4,9.23,9.26,6882511
2021-08-20,9.26,9.38,9.22,9.24,6477762
2021-08-23,9.24,9.58,9.23,9.46,9686900
2021-08-24,9.55,9.57,9.43,9.56,8299127
