date,open,high,low,close,volume
2021-01-04,23.65,24.63,23.52,24.6,23962294
2021-01-05,24.5,25.1,24.26,24.67,23584823
2021-01-06,24.87,24.89,23.94,24.1,15913144
2021-01-07,24,24.11,23.36,23.65,13234725
2021-01-08,23.58,25.15,23.56,24.45,24186539
2021-01-11,24.3,24.85,24.13,24.5,18037986
2021-01-12,24.3,24.69,24.05,24.6,14982001
2021-01-13,24.64,25.5,24.48,25.28,31531080
2021-01-14,25.05,25.61,24.81,25.1,22545262
2021-01-15,25.15,25.15,24.41,24.44,15929979
2021-01-18,24.3,24.87,24.22,24.64,15668564
2021-01-19,24.79,24.86,23.98,24.27,16157992
2021-01-20,24.12,24.3,23.92,24.22,9165020
2021-01-21,24.16,24.26,23.65,23.89,13049946
2021-01-22,23.88,23.88,22.7,22.79,21649319
2021-01-25,20.86,21.92,20.86,21.52,28424155
2021-01-26,21.4,21.75,21.05,21.14,12697816
2021-01-27,21.11,21.46,21.05,21.14,7383273
2021-01-28,21.03,21.25,20.91,20.99,8444253
2021-01-29,20.99,21.13,19.94,20.06,18949721
2021-02-01,20.11,20.27,19.09,19.23,18220658
2021-02-02,19.22,19.48,18.72,19.2,11869982
2021-02-03,19.21,19.38,18.82,18.84,11642589
2021-02-04,18.84,18.97,17.9,18.41,15455967
2021-02-05,18.35,18.68,18.05,18.08,8229784
2021-02-08,18.24,18.4,18.14,18.19,6584591
2021-02-09,18.2,18.65,18.11,18.55,8489990
2021-02-10,18.56,18.7,18.37,18.63,7179471
2021-02-18,19.01,19.36,18.86,19.27,10308418
2021-02-19,19.34,19.85,19.11,19.75,9827570
2021-02-22,19.9,20.08,19.53,19.62,15178778
2021-02-23,19.61,19.83,19.38,19.48,8525857
2021-02-24,19.48,19.77,19.29,19.51,7701095
2021-02-25,19.6,19.69,19.27,19.28,7006811
2021-02-26,19.1,19.5,18.91,19.14,8075532
2021-03-01,19.18,19.62,19.1,19.57,8716103
2021-03-02,19.6,19.69,19.34,19.42,6578933
2021-03-03,19.39,19.58,19.28,19.52,6634844
2021-03-04,19.4,19.55,19.04,19.07,8464416
2021-03-05,19.05,19.44,18.92,19.34,7424566
2021-03-08,19.41,19.74,19.17,19.18,9556556
2021-03-09,19.18,19.37,18.58,18.82,9720628
2021-03-10,19,19.09,18.48,18.52,7254454
2021-03-11,18.51,18.83,18.31,18.69,6401182
2021-03-12,18.7,18.71,18.41,18.52,5018917
2021-03-15,18.43,18.43,18,18.15,7832179
2021-03-16,18.23,18.55,18.11,18.44,6439193
2021-03-17,18.58,19.27,18.58,18.94,11630145
2021-03-18,18.93,18.93,18.61,18.66,5919866
2021-03-19,18.46,18.71,18.35,18.39,4963477
2021-03-22,18.38,18.55,18.34,18.5,4047728
2021-03-23,18.51,18.7,18.44,18.52,4409215
2021-03-24,18.48,18.55,18.27,18.32,4591954
2021-03-25,18.29,18.43,18.26,18.32,3463291
2021-03-26,18.46,18.68,18.46,18.64,6059875
2021-03-29,18.76,18.77,18.51,18.54,4480541
2021-03-30,18.54,18.57,18.33,18.36,4350488
2021-03-31,18.37,18.5,18.28,18.4,3290636
2021-04-01,18.52,18.79,18.36,18.6,6043259
2021-04-02,18.51,18.75,18.49,18.64,5198433
2021-04-06,18.64,18.68,18.55,18.63,3621285
2021-04-07,18.68,19.26,18.55,19.19,11669981
2021-04-08,19.13,19.15,18.8,18.82,7828549
2021-04-09,18.87,18.97,18.69,18.86,4940502
2021-04-12,18.86,18.91,18.57,18.59,4963612
2021-04-13,18.59,18.71,18.41,18.46,4141696
2021-04-14,18.4,18.58,18.38,18.49,3769460
2021-04-15,18.47,18.47,18.2,18.27,4533100
2021-04-16,18.27,18.65,18.26,18.51,4430171
2021-04-19,18.48,18.86,18.42,18.81,6400736
2021-04-20,18.8,18.85,18.67,18.7,4645618
2021-04-21,18.66,18.66,18.4,18.53,3796405
2021-04-22,18.55,18.99,18.46,18.76,8058723
2021-04-23,18.61,18.94,18.55,18.89,8474748
2021-04-26,18.99,19.09,18.65,18.77,7865972
2021-04-27,18.98,18.98,18.4,18.4,6546633
2021-04-28,18.34,18.48,18.26,18.47,4284333
2021-04-29,18.39,18.55,18.31,18.32,4927599
2021-04-30,18.3,18.35,17.67,17.85,12682016
2021-05-06,17.8,17.84,17.68,17.71,4836800
2021-05-07,17.69,17.76,17.4,17.44,6197799
2021-05-10,17.44,17.44,17,17.03,8544857
2021-05-11,17,17.34,16.84,17.32,6862370
2021-05-12,17.23,17.38,17.14,17.36,4327754
2021-05-13,17.17,17.56,17.17,17.28,4997993
2021-05-14,17.3,17.52,17.24,17.48,4937361
2021-05-17,17.49,17.74,17.49,17.56,5847891
2021-05-18,17.63,17.74,17.45,17.61,4744565
2021-05-19,17.56,17.57,17.39,17.41,4553242
2021-05-20,17.4,17.47,17.3,17.32,3940713
2021-05-21,17.3,17.41,17.23,17.26,4091246
2021-05-24,17.26,17.42,17.12,17.35,5812350
2021-05-25,17.32,17.6,17.27,17.58,6969091
2021-05-26,17.62,17.84,17.52,17.54,6951401
2021-05-27,17.5,18.06,17.5,17.76,13055210
2021-05-28,17.76,18.12,17.74,17.97,10790888
2021-05-31,17.97,18.29,17.97,18.09,8648158
2021-06-01,18.1,18.23,17.92,18.09,8333614
2021-06-02,18.12,18.18,17.77,17.78,7821659
2021-06-03,17.82,18.85,17.81,18.4,21812197
2021-06-04,18.34,18.65,18.28,18.57,12586998
2021-06-07,18.56,18.94,18.5,18.68,11553771
2021-06-08,18.67,18.81,18.43,18.62,11137578
2021-06-09,18.66,18.83,18.37,18.41,9577149
2021-06-10,18.37,18.87,18.36,18.82,16862584
2021-06-11,18.89,18.94,18.54,18.59,16204868
2021-06-15,18.54,18.77,18.04,18.08,13010577
2021-06-16,18.25,18.43,17.97,18.08,9564924
2021-06-17,18.04,18.41,18.04,18.35,9014095
2021-06-18,18.36,18.88,18.29,18.71,13107708
2021-06-21,18.62,18.87,18.54,18.72,9631390
2021-06-22,18.71,18.75,18.46,18.55,8214641
2021-06-23,18.49,18.8,18.37,18.78,13818972
2021-06-24,18.8,18.97,18.58,18.6,12218808
2021-06-25,18.52,18.74,18.4,18.61,8357309
2021-06-28,18.67,19.15,18.57,19.03,16449910
2021-06-29,18.91,19.04,18.5,18.51,12966837
2021-06-30,18.53,18.66,18.4,18.63,7053137
2021-07-01,18.63,18.69,18.03,18.06,9568331
2021-07-02,17.99,17.99,17.55,17.62,10473314
2021-07-05,17.63,17.84,17.63,17.78,5866352
2021-07-06,17.73,17.86,17.6,17.77,6390277
2021-07-07,17.69,17.74,17.56,17.69,6345549
2021-07-08,17.71,17.73,17.39,17.45,8224758
2021-07-09,17.41,17.62,17.38,17.54,5568561
2021-07-12,17.78,19.25,17.77,18.97,37595969
2021-07-13,18.94,19.14,18.6,18.84,23803236
2021-07-14,18.89,19.28,18.77,18.78,16400687
2021-07-15,18.83,18.96,18.41,18.57,12546164
2021-07-16,18.52,18.63,18.34,18.4,8864800
2021-07-19,18.3,19.65,17.92,19.65,39866641
2021-07-20,19.5,19.59,19.13,19.39,21455935
2021-07-21,19.39,19.56,19.19,19.33,21431669
2021-07-22,19.33,20.15,19.22,19.5,25445379
2021-07-23,19.82,20.07,19.25,19.57,20419614
2021-07-26,19.46,19.48,18.5,18.92,19539010
2021-07-27,18.92,19.9,18.76,19.43,32860283
2021-07-28,19.36,19.97,18.73,19.92,37494361
2021-07-29,20.2,20.29,19.65,20.05,36643834
2021-07-30,19.7,20.56,19.62,19.87,34042008
2021-08-02,19.92,20.68,19.92,20.68,35401792
2021-08-03,20.76,21.6,20.22,20.3,43442094
2021-08-04,20.1,20.71,20,20.42,25581917
2021-08-05,20.2,20.32,19.86,19.98,20181034
2021-08-06,19.89,20.5,19.68,20.24,18734057
2021-08-09,20.27,20.63,20.1,20.42,16139122
2021-08-10,20.42,20.5,20.01,20.19,15535897
2021-08-11,20.18,20.18,19.5,19.56,23363518
2021-08-12,19.43,19.83,19.37,19.59,13676899
2021-08-13,19.49,19.65,19.29,19.4,12219468
2021-08-16,19.34,19.56,19.2,19.29,9641866
2021-08-17,19.22,19.31,18.85,18.87,13117581
2021-08-18,18.82,19.05,18.81,19.05,8602681
2021-08-19,18.95,19.45,18.93,19.44,13450327
2021-08-20,19.25,19.37,18.9,19.08,9682532
2021-08-23,19.18,19.3,18.96,19.23,9802075
2021-08-24,19.22,19.22,18.98,19.08,8957624
2021-08-25,19.08,19.21,18.91,18.92,8191570
2021-08-26,18.9,18.9,18.3,18.31,16795532
2021-08-27,18.26,18.48,18.18,18.46,8159939
2021-08-30,18.6,18.69,18.01,18.13,11432626
2021-08-31,18.14,18.2,17.85,18.18,9540521
2021-09-01,18.18,18.38,18,18.36,9933661
2021-09-02,18.36,18.36,18.12,18.16,7798140
2021-09-03,18.1,18.37,18.09,18.27,6831934
2021-09-06,18.28,18.68,18.21,18.59,9770135
2021-09-07,18.59,18.77,18.5,18.63,9029907
2021-09-08,18.63,18.85,18.59,18.74,10313376
2021-09-09,18.74,18.85,18.56,18.72,9060528
2021-09-10,18.7,18.79,18.52,18.6,10222845
2021-09-13,18.54,18.55,18.24,18.28,9350817
2021-09-14,18.28,18.57,18.26,18.33,8672755
2021-09-15,18.23,18.46,18.14,18.35,5147036
2021-09-16,18.34,18.41,18,18.09,8178743
2021-09-17,18.02,18.15,17.86,18.11,6394275
2021-09-22,18.01,18.11,17.93,18.08,4934482
2021-09-23,18.18,18.4,18.14,18.23,7907378
2021-09-24,18.24,18.32,18.01,18.05,6082040
2021-09-27,18.38,18.5,18.08,18.15,8304097
2021-09-28,17.97,18.06,17.89,17.95,5041260
2021-09-29,17.82,17.88,17.56,17.61,7369982
2021-09-30,17.59,17.8,17.58,17.64,3939477
2021-10-08,17.74,17.98,17.74,17.89,4923424
2021-10-11,17.92,18.97,17.9,18.75,18334642
2021-10-12,18.5,18.84,18.43,18.56,10286044
2021-10-13,18.56,18.75,18.55,18.66,8979152
2021-10-14,18.66,18.75,18.53,18.64,6272687
2021-10-15,18.7,18.85,18.35,18.49,8068887
2021-10-18,18.43,18.43,18.25,18.34,5650192
2021-10-19,18.36,18.39,18.12,18.34,6285398
2021-10-20,18.43,18.43,18.06,18.06,6554540
2021-10-21,18.06,18.13,17.77,17.83,8363074
2021-10-22,17.88,18,17.75,17.99,5393099
2021-10-25,17.8,17.83,17.53,17.68,7136412
2021-10-26,17.54,17.68,17.5,17.55,6152132
2021-10-27,17.55,17.55,17.03,17.08,9243144
2021-10-28,17.03,17.22,17.03,17.13,5285428
2021-10-29,17.15,17.29,17.11,17.23,3860256
2021-11-01,17.23,17.3,17.04,17.26,5313252
2021-11-02,17.28,17.53,17.13,17.28,6955866
2021-11-03,17.35,17.59,17.29,17.49,5477842
2021-11-04,17.45,18,17.43,17.73,9491100
2021-11-05,17.71,17.88,17.57,17.57,6302647
2021-11-08,17.58,17.64,17.38,17.41,4768231
2021-11-09,17.45,17.64,17.37,17.62,4777931
2021-11-10,17.6,17.72,17.48,17.59,5398744
2021-11-11,17.56,17.77,17.45,17.69,6307887
2021-11-12,17.64,18.1,17.64,17.95,9583231
2021-11-15,18.04,18.11,17.86,17.96,6127212
2021-11-16,17.98,18.14,17.86,17.93,7486040
2021-11-17,17.94,18.09,17.8,18.01,6910129
2021-11-18,17.94,18.14,17.7,17.7,8102621
2021-11-19,17.64,17.93,17.52,17.89,7337133
2021-11-22,17.89,18.07,17.84,17.99,6891818
2021-11-23,17.91,18.2,17.91,18.04,7493348
2021-11-24,18.05,18.26,18,18.19,9323019
2021-11-25,18.26,18.29,17.9,17.91,8334920
2021-11-26,17.91,17.94,17.75,17.77,6425954
2021-11-29,17.53,17.64,17.49,17.49,7776573
2021-11-30,17.59,17.8,17.59,17.75,7474791
2021-12-01,17.76,18.19,17.66,18.12,11028379
2021-12-02,18.18,18.23,18.02,18.1,7725912
2021-12-03,18.14,18.19,18.01,18.13,6034777
2021-12-06,18.15,18.19,17.8,17.82,6474517
2021-12-07,17.86,17.92,17.64,17.7,6732597
2021-12-08,17.75,17.77,17.64,17.74,5827410
2021-12-09,17.74,17.93,17.68,17.81,7743625
2021-12-10,17.72,17.74,17.61,17.71,8371428
2021-12-13,17.72,17.91,17.62,17.76,10036692
2021-12-14,17.74,18.04,17.7,17.9,8565442
2021-12-15,17.92,18.12,17.88,17.91,9804737
2021-12-16,17.82,18.02,17.76,18.02,7831764
2021-12-17,17.98,18.16,17.9,17.98,9201199
2021-12-20,18.01,18.17,17.79,17.84,7621844
2021-12-21,17.81,17.99,17.75,17.93,6331520
2021-12-22,17.93,18.04,17.84,17.85,7489634
2021-12-23,17.83,17.85,17.63,17.64,8824698
2021-12-24,17.66,17.74,17.5,17.57,5881558
2021-12-27,17.53,17.8,17.52,17.69,4976820
2021-12-28,17.69,17.83,17.63,17.76,5167892
2021-12-29,17.76,17.78,17.66,17.68,4860100
2021-12-30,17.66,17.91,17.66,17.86,6387314
2021-12-31,17.85,18.05,17.75,17.98,8598108
2022-01-04,17.99,18.24,17.98,18.17,12179218
2022-01-05,18.17,18.27,17.98,18.03,9122993
2022-01-06,18.08,18.23,17.9,18.02,8176291
2022-01-07,18.02,18.15,17.92,17.93,7981739
2022-01-10,17.92,18.19,17.77,18.16,10320636
2022-01-11,18.12,18.36,18.01,18.02,10461069
2022-01-12,18.06,18.17,17.91,18.02,6146153
2022-01-13,18.24,18.41,17.99,18.02,10003360
2022-01-14,17.92,18.03,17.81,17.84,7071938
2022-01-17,17.92,18.59,17.91,18.55,23415235
2022-01-18,18.53,18.68,18.36,18.41,14953038
2022-01-19,18.33,18.55,18.32,18.51,10284186
2022-01-20,18.65,18.65,18.29,18.37,10098821
2022-01-21,18.32,18.45,18.04,18.13,8945294
2022-01-24,18.09,18.21,17.87,17.87,8721359
2022-01-25,17.81,17.87,17.1,17.1,15050947
2022-01-26,17.22,17.28,16.66,16.81,13584744
2022-01-27,16.73,16.8,16.16,16.16,12517683
